"opportunity_id","sales_agent","product","account","deal_stage","engage_date","close_date","close_value","engage_status","close_status","quarter","sector","year_established","revenue","employees","office_location","subsidiary_of","series","sales_price","manager","regional_office"
"4ENCEYPG","Anna Snelling","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"6KHIXTAD","Anna Snelling","GTX Plus Pro","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","5482","Dustin Brinkmann","Central"
"GNN53C6D","Anna Snelling","GTX Plus Pro","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","5482","Dustin Brinkmann","Central"
"0D8Y5JA0","Anna Snelling","GTX Plus Pro","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","5482","Dustin Brinkmann","Central"
"OM60BJ4S","Anna Snelling","GTX Plus Basic","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","1096","Dustin Brinkmann","Central"
"OJDZN6UK","Anna Snelling","GTX Plus Basic","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","1096","Dustin Brinkmann","Central"
"GR9S7VHI","Anna Snelling","GTX Basic","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","550","Dustin Brinkmann","Central"
"XRJ54GNR","Anna Snelling","GTX Basic","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","550","Dustin Brinkmann","Central"
"G99CS23F","Anna Snelling","GTX Basic","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","550","Dustin Brinkmann","Central"
"8E0VRCLW","Anna Snelling","GTX Basic","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","550","Dustin Brinkmann","Central"
"YIU1B39V","Anna Snelling","GTX Basic","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","550","Dustin Brinkmann","Central"
"3LCLVRVV","Anna Snelling","GTX Basic","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","550","Dustin Brinkmann","Central"
"B08R55ET","Anna Snelling","MG Special","Missing_Account","Engaging","2017-08-15",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"0GS0L5VR","Anna Snelling","MG Special","Missing_Account","Engaging","2017-08-14",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"NPORW46K","Anna Snelling","MG Special","Missing_Account","Engaging","2017-08-14",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"SAMPTSH0","Anna Snelling","GTX Plus Basic","Missing_Account","Engaging","2017-08-14",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","1096","Dustin Brinkmann","Central"
"FCBSZ6FJ","Anna Snelling","GTX Plus Pro","Missing_Account","Engaging","2017-08-09",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","5482","Dustin Brinkmann","Central"
"80QJ0BQH","Anna Snelling","MG Special","Missing_Account","Engaging","2017-08-05",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"DAAHNY6T","Anna Snelling","MG Special","Missing_Account","Engaging","2017-08-05",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"OVA9HMN1","Anna Snelling","GTX Plus Pro","Missing_Account","Engaging","2017-08-05",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","5482","Dustin Brinkmann","Central"
"4PNXMXXC","Anna Snelling","GTX Basic","Missing_Account","Engaging","2017-08-05",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","550","Dustin Brinkmann","Central"
"ULJG457F","Anna Snelling","MG Special","Missing_Account","Engaging","2017-08-03",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"H85L45JM","Anna Snelling","MG Special","Missing_Account","Engaging","2017-08-01",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"CFKXEPFN","Anna Snelling","GTX Plus Basic","Missing_Account","Engaging","2017-08-01",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","1096","Dustin Brinkmann","Central"
"I1R23P5F","Anna Snelling","GTX Plus Basic","Missing_Account","Engaging","2017-08-01",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","1096","Dustin Brinkmann","Central"
"5SNCUQ8Z","Anna Snelling","MG Special","Missing_Account","Engaging","2017-07-30",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"MK380H70","Anna Snelling","MG Special","Missing_Account","Engaging","2017-07-30",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"VVM42VWQ","Anna Snelling","GTX Basic","Missing_Account","Engaging","2017-07-30",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","550","Dustin Brinkmann","Central"
"ERD6D5K3","Anna Snelling","GTX Basic","Missing_Account","Engaging","2017-07-30",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","550","Dustin Brinkmann","Central"
"B1ZN2CFP","Anna Snelling","MG Advanced","Missing_Account","Engaging","2017-07-29",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Dustin Brinkmann","Central"
"T0TDA2O1","Anna Snelling","GTX Plus Pro","Missing_Account","Engaging","2017-07-29",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","5482","Dustin Brinkmann","Central"
"10QE4JCA","Anna Snelling","MG Special","Missing_Account","Engaging","2017-07-28",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"YYU1J6E1","Anna Snelling","MG Special","Missing_Account","Engaging","2017-07-27",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"1T5WFCEJ","Anna Snelling","GTX Plus Pro","Missing_Account","Engaging","2017-07-27",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","5482","Dustin Brinkmann","Central"
"N9GIC5PC","Anna Snelling","GTX Plus Pro","Missing_Account","Engaging","2017-07-27",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","5482","Dustin Brinkmann","Central"
"V02WMIWK","Anna Snelling","MG Special","Missing_Account","Engaging","2017-07-26",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"513PSPBN","Anna Snelling","GTX Plus Pro","Missing_Account","Engaging","2017-07-24",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","5482","Dustin Brinkmann","Central"
"G7H64S20","Anna Snelling","MG Advanced","Missing_Account","Engaging","2017-07-23",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Dustin Brinkmann","Central"
"IAUXJ05J","Anna Snelling","MG Special","Missing_Account","Engaging","2017-07-23",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"J732416R","Anna Snelling","MG Special","Missing_Account","Engaging","2017-07-23",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"E9J482PX","Anna Snelling","MG Advanced","Missing_Account","Engaging","2017-07-22",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Dustin Brinkmann","Central"
"RQF6II3D","Anna Snelling","MG Special","Missing_Account","Engaging","2017-07-22",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"FT5U6NIG","Anna Snelling","MG Special","Missing_Account","Engaging","2017-07-22",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"3DATPTEH","Anna Snelling","MG Special","Missing_Account","Engaging","2017-07-22",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"T4AW06MM","Anna Snelling","GTX Plus Pro","Missing_Account","Engaging","2017-07-22",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","5482","Dustin Brinkmann","Central"
"QRR70537","Anna Snelling","GTX Basic","Missing_Account","Engaging","2017-07-22",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","550","Dustin Brinkmann","Central"
"S50ETCN7","Anna Snelling","GTX Plus Basic","Missing_Account","Engaging","2017-07-21",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","1096","Dustin Brinkmann","Central"
"1R2CLEGQ","Anna Snelling","MG Special","Missing_Account","Engaging","2017-07-20",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"ZGFB0IF1","Anna Snelling","GTX Plus Basic","Missing_Account","Engaging","2017-07-20",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","1096","Dustin Brinkmann","Central"
"LAYVBSH4","Anna Snelling","GTX Basic","Missing_Account","Engaging","2017-07-19",NULL,NULL,"Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","550","Dustin Brinkmann","Central"
"PLQ50D2O","Anna Snelling","MG Advanced","Domzoom","Won","2017-12-17","2017-12-26","3240","Engaged","Closed","Q4","entertainment",1998,"217.87",551,"United States",NULL,"MG","3393","Dustin Brinkmann","Central"
"04AOWMXV","Anna Snelling","GTX Basic","Codehow","Won","2017-12-11","2017-12-28","537","Engaged","Closed","Q4","software",1998,"2714.9",2641,"United States","Acme Corporation","GTX","550","Dustin Brinkmann","Central"
"JRSU8ALH","Anna Snelling","GTX Basic","Ron-Tech","Lost","2017-12-10","2017-12-19","0","Engaged","Closed","Q4","medical",1992,"3922.42",6837,"United States",NULL,"GTX","550","Dustin Brinkmann","Central"
"2KWQ6RAZ","Anna Snelling","MG Special","Cancity","Won","2017-12-08","2017-12-18","60","Engaged","Closed","Q4","retail",2001,"718.62",2448,"United States",NULL,"MG","55","Dustin Brinkmann","Central"
"JCJ5PJDH","Anna Snelling","MG Special","Hottechi","Won","2017-12-04","2017-12-13","57","Engaged","Closed","Q4","technology",1997,"8170.38",16499,"Korea",NULL,"MG","55","Dustin Brinkmann","Central"
"X70BM5FO","Anna Snelling","GTX Plus Basic","Condax","Won","2017-12-01","2017-12-22","1243","Engaged","Closed","Q4","medical",2017,"4.54",9,"United States",NULL,"GTX","1096","Dustin Brinkmann","Central"
"ZNBS69V1","Anna Snelling","MG Special","Ron-Tech","Won","2016-10-29","2017-03-01","49","Engaged","Closed","Q1","medical",1992,"3922.42",6837,"United States",NULL,"MG","55","Dustin Brinkmann","Central"
"EBMBP7JQ","Anna Snelling","MG Advanced","Dambase","Won","2017-11-26","2017-12-07","3844","Engaged","Closed","Q4","marketing",1995,"2173.98",2928,"United States","Inity","MG","3393","Dustin Brinkmann","Central"
"NBUHFAKW","Anna Snelling","MG Advanced","Genco Pura Olive Oil Company","Won","2017-11-25","2017-12-28","2477","Engaged","Closed","Q4","retail",2007,"894.33",1635,"Italy",NULL,"MG","3393","Dustin Brinkmann","Central"
"6MTK51P5","Anna Snelling","MG Special","Rundofase","Won","2017-11-20","2017-11-29","52","Engaged","Closed","Q4","technology",1983,"1008.06",1238,"United States",NULL,"MG","55","Dustin Brinkmann","Central"
"FX1RWO67","Anna Snelling","MG Advanced","Hottechi","Won","2017-11-16","2017-12-31","3300","Engaged","Closed","Q4","technology",1997,"8170.38",16499,"Korea",NULL,"MG","3393","Dustin Brinkmann","Central"
"V8ELYA6F","Anna Snelling","GTX Plus Pro","Treequote","Won","2017-11-14","2017-11-15","5276","Engaged","Closed","Q4","telecommunications",1988,"5266.09",8595,"United States","Sonron","GTX","5482","Dustin Brinkmann","Central"
"83Y5850C","Anna Snelling","MG Special","Inity","Lost","2017-11-12","2017-11-25","0","Engaged","Closed","Q4","marketing",1986,"2403.58",8801,"United States",NULL,"MG","55","Dustin Brinkmann","Central"
"J5I6Y4RN","Anna Snelling","MG Special","Isdom","Lost","2017-10-31","2017-11-10","0","Engaged","Closed","Q4","medical",2002,"3178.24",4540,"United States",NULL,"MG","55","Dustin Brinkmann","Central"
"FRNGLIYS","Anna Snelling","MG Special","Dambase","Won","2017-10-28","2017-10-29","66","Engaged","Closed","Q4","marketing",1995,"2173.98",2928,"United States","Inity","MG","55","Dustin Brinkmann","Central"
"IE1N4OUS","Anna Snelling","GTX Plus Pro","Rundofase","Won","2017-10-27","2017-12-07","5269","Engaged","Closed","Q4","technology",1983,"1008.06",1238,"United States",NULL,"GTX","5482","Dustin Brinkmann","Central"
"3PIPAOVU","Anna Snelling","MG Special","Finhigh","Won","2017-10-26","2017-12-28","57","Engaged","Closed","Q4","finance",2006,"1102.43",1759,"United States",NULL,"MG","55","Dustin Brinkmann","Central"
"63S5SNBC","Anna Snelling","GTX Plus Basic","Domzoom","Won","2017-10-26","2017-10-27","1103","Engaged","Closed","Q4","entertainment",1998,"217.87",551,"United States",NULL,"GTX","1096","Dustin Brinkmann","Central"
"8W9YXI59","Anna Snelling","MG Special","Cancity","Won","2017-10-25","2017-11-26","59","Engaged","Closed","Q4","retail",2001,"718.62",2448,"United States",NULL,"MG","55","Dustin Brinkmann","Central"
"BMQYRJC7","Anna Snelling","GTX Plus Pro","Codehow","Won","2017-10-21","2017-12-16","5543","Engaged","Closed","Q4","software",1998,"2714.9",2641,"United States","Acme Corporation","GTX","5482","Dustin Brinkmann","Central"
"CO7T7H41","Anna Snelling","MG Special","Ron-Tech","Lost","2017-10-21","2017-10-27","0","Engaged","Closed","Q4","medical",1992,"3922.42",6837,"United States",NULL,"MG","55","Dustin Brinkmann","Central"
"KIZOEC3M","Anna Snelling","GTX Plus Basic","Dambase","Lost","2017-10-21","2017-10-23","0","Engaged","Closed","Q4","marketing",1995,"2173.98",2928,"United States","Inity","GTX","1096","Dustin Brinkmann","Central"
"RELG4CYQ","Anna Snelling","MG Special","Gogozoom","Won","2017-10-20","2017-10-30","54","Engaged","Closed","Q4","telecommunications",2007,"86.68",187,"United States","Sonron","MG","55","Dustin Brinkmann","Central"
"DTFLKV60","Anna Snelling","MG Advanced","Dontechi","Lost","2017-10-20","2017-10-21","0","Engaged","Closed","Q4","software",1982,"4618",10083,"United States",NULL,"MG","3393","Dustin Brinkmann","Central"
"PN0IWJ0N","Anna Snelling","GTX Plus Basic","Hottechi","Won","2017-10-19","2017-10-30","1089","Engaged","Closed","Q4","technology",1997,"8170.38",16499,"Korea",NULL,"GTX","1096","Dustin Brinkmann","Central"
"R5ILWVDD","Anna Snelling","MG Special","Stanredtax","Won","2017-10-16","2017-12-13","57","Engaged","Closed","Q4","finance",1987,"1698.2",3798,"United States",NULL,"MG","55","Dustin Brinkmann","Central"
"9GSBUJMH","Anna Snelling","MG Special","Isdom","Lost","2017-10-15","2017-10-24","0","Engaged","Closed","Q4","medical",2002,"3178.24",4540,"United States",NULL,"MG","55","Dustin Brinkmann","Central"
"0V9YEQDU","Anna Snelling","MG Special","Treequote","Lost","2017-10-13","2017-10-22","0","Engaged","Closed","Q4","telecommunications",1988,"5266.09",8595,"United States","Sonron","MG","55","Dustin Brinkmann","Central"
"4VZ0JIVZ","Anna Snelling","MG Advanced","Scottech","Won","2017-10-11","2017-10-16","3434","Engaged","Closed","Q4","marketing",2012,"45.39",100,"United States","Inity","MG","3393","Dustin Brinkmann","Central"
"KI4LTBV6","Anna Snelling","MG Advanced","Statholdings","Lost","2017-10-11","2017-10-13","0","Engaged","Closed","Q4","employment",1997,"291.27",586,"United States",NULL,"MG","3393","Dustin Brinkmann","Central"
"OHD4TPKZ","Anna Snelling","GTX Plus Basic","Gogozoom","Won","2017-10-10","2017-10-11","1166","Engaged","Closed","Q4","telecommunications",2007,"86.68",187,"United States","Sonron","GTX","1096","Dustin Brinkmann","Central"
"MQVOQZL7","Anna Snelling","MG Special","Codehow","Lost","2017-10-10","2017-10-19","0","Engaged","Closed","Q4","software",1998,"2714.9",2641,"United States","Acme Corporation","MG","55","Dustin Brinkmann","Central"
"H9M21153","Anna Snelling","MG Advanced","Ron-Tech","Won","2017-10-09","2017-10-20","3100","Engaged","Closed","Q4","medical",1992,"3922.42",6837,"United States",NULL,"MG","3393","Dustin Brinkmann","Central"
"IVMMNSJB","Anna Snelling","GTX Plus Pro","Conecom","Lost","2017-10-09","2017-10-17","0","Engaged","Closed","Q4","technology",2005,"1520.66",1806,"United States",NULL,"GTX","5482","Dustin Brinkmann","Central"
"NRMFYPAD","Anna Snelling","GTX Plus Pro","Treequote","Won","2017-10-08","2017-12-30","6038","Engaged","Closed","Q4","telecommunications",1988,"5266.09",8595,"United States","Sonron","GTX","5482","Dustin Brinkmann","Central"
"JQK0EF45","Anna Snelling","GTX Plus Pro","Streethex","Won","2017-10-07","2017-10-13","5349","Engaged","Closed","Q4","retail",1988,"1376.8",1165,"Belgium",NULL,"GTX","5482","Dustin Brinkmann","Central"
"7QPQ40X9","Anna Snelling","MG Advanced","Ron-Tech","Lost","2017-10-06","2017-10-08","0","Engaged","Closed","Q4","medical",1992,"3922.42",6837,"United States",NULL,"MG","3393","Dustin Brinkmann","Central"
"52IHI8JD","Anna Snelling","MG Special","Funholding","Lost","2017-10-06","2017-11-24","0","Engaged","Closed","Q4","finance",1991,"2819.5",7227,"United States","Golddex","MG","55","Dustin Brinkmann","Central"
"JAG873Y3","Anna Snelling","MG Special","Hottechi","Lost","2017-10-05","2017-10-12","0","Engaged","Closed","Q4","technology",1997,"8170.38",16499,"Korea",NULL,"MG","55","Dustin Brinkmann","Central"
"L67B6CU2","Anna Snelling","GTX Plus Pro","Rundofase","Lost","2017-10-03","2017-10-09","0","Engaged","Closed","Q4","technology",1983,"1008.06",1238,"United States",NULL,"GTX","5482","Dustin Brinkmann","Central"
"6HDTZCCM","Anna Snelling","GTX Plus Pro","Warephase","Lost","2017-10-02","2017-10-14","0","Engaged","Closed","Q4","services",1997,"2041.73",5276,"United States",NULL,"GTX","5482","Dustin Brinkmann","Central"
"5B3BKUMD","Anna Snelling","GTX Basic","Finhigh","Lost","2017-10-01","2017-10-11","0","Engaged","Closed","Q4","finance",2006,"1102.43",1759,"United States",NULL,"GTX","550","Dustin Brinkmann","Central"
"FSBZ3KOY","Anna Snelling","GTX Plus Pro","Toughzap","Lost","2017-09-30","2017-10-01","0","Engaged","Closed","Q4","retail",1995,"332.43",799,"United States",NULL,"GTX","5482","Dustin Brinkmann","Central"
"H29XGJ5H","Anna Snelling","GTX Basic","Rangreen","Lost","2017-09-30","2017-12-04","0","Engaged","Closed","Q4","technology",1987,"2938.67",8775,"Panama",NULL,"GTX","550","Dustin Brinkmann","Central"
"AS3IYIRO","Anna Snelling","GTX Basic","Hottechi","Won","2017-09-27","2017-12-26","543","Engaged","Closed","Q4","technology",1997,"8170.38",16499,"Korea",NULL,"GTX","550","Dustin Brinkmann","Central"
"Q06QD8ZW","Anna Snelling","MG Special","Globex Corporation","Won","2017-09-26","2017-11-03","54","Engaged","Closed","Q4","technology",2000,"1223.72",2497,"Norway",NULL,"MG","55","Dustin Brinkmann","Central"
"8KIMVD15","Anna Snelling","MG Special","Cancity","Lost","2017-09-26","2017-10-06","0","Engaged","Closed","Q4","retail",2001,"718.62",2448,"United States",NULL,"MG","55","Dustin Brinkmann","Central"
"4YXXI2OI","Anna Snelling","MG Special","Codehow","Won","2017-09-25","2017-12-18","53","Engaged","Closed","Q4","software",1998,"2714.9",2641,"United States","Acme Corporation","MG","55","Dustin Brinkmann","Central"
"TFGYLK6C","Anna Snelling","GTX Basic","Inity","Lost","2017-09-25","2017-10-04","0","Engaged","Closed","Q4","marketing",1986,"2403.58",8801,"United States",NULL,"GTX","550","Dustin Brinkmann","Central"
"5BRWXIU3","Anna Snelling","MG Special","Codehow","Lost","2017-09-24","2017-11-27","0","Engaged","Closed","Q4","software",1998,"2714.9",2641,"United States","Acme Corporation","MG","55","Dustin Brinkmann","Central"
